,Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2
90,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
91,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
92,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
93,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
94,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
95,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
96,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
97,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
98,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
99,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
100,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
101,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
102,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
103,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
104,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
105,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
106,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
107,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
108,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
109,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
110,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
111,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
112,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
113,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
114,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
115,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
116,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
117,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
118,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
119,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
120,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
121,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
122,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
123,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
124,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
125,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
126,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
127,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
128,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
129,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
130,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
131,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
132,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
133,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
134,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
135,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
136,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
137,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
138,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
139,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
140,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
141,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
142,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
143,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
144,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
145,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
146,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
147,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
148,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
149,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
150,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
151,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
152,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
153,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
154,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
155,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
156,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
157,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
158,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
159,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
160,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
161,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
162,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
163,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
164,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
165,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
166,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
167,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
168,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
169,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
170,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
171,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
172,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
173,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
174,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
175,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
176,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
177,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
178,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
179,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
180,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
181,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
182,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
183,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
184,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
185,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
186,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
187,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
188,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
189,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
190,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
191,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
192,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
193,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
194,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
195,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
196,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
197,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
198,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
199,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
200,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
201,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
202,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
203,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
204,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
205,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
206,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
207,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
208,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
209,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
210,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
211,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
212,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
213,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
214,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
215,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
216,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
217,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
218,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
219,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
220,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
221,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
222,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
223,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
