,Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2
7901,"market for electricity, low voltage",CZ,CEU, 3, flat-roof , multi-Si, on roof,,
7902,"market for electricity, low voltage",CZ,CEU, 3, flat-roof , single-Si, on roof,,
7903,"market for electricity, low voltage",CZ,CEU, 3, slanted-roof , CIS, panel, mounted, on roof
7904,"market for electricity, low voltage",CZ,CEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
7905,"market for electricity, low voltage",CZ,CEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
7906,"market for electricity, low voltage",CZ,CEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
7907,"market for electricity, low voltage",CZ,CEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
7908,"market for electricity, low voltage",CZ,CEU, 3, slanted-roof , single-Si, panel, mounted, on roof
7909,"market for electricity, high voltage",CY,CEU, 156 , flat-roof , multi-Si, on roof,,
7910,"market for electricity, high voltage",CY,CEU, 156 , flat-roof , single-Si, on roof,,
7911,"market for electricity, high voltage",CY,CEU, 570 , open ground , CIS, on open ground,,
7912,"market for electricity, high voltage",CY,CEU, 570 , open ground , CdTe, on open ground,,
7913,"market for electricity, high voltage",CY,CEU, 570 , open ground , micro-Si, on open ground,,
7914,"market for electricity, high voltage",CY,CEU, 570 , open ground , multi-Si, on open ground,,
7915,"market for electricity, high voltage",CY,CEU, 570 , open ground , single-Si, on open ground,,
7916,"market for electricity, high voltage",CY,CEU, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
7917,"market for electricity, high voltage",CY,CEU, 93 , slanted-roof , multi-Si, panel, mounted, on roof
7918,"market for electricity, high voltage",CY,CEU, 93 , slanted-roof , single-Si, laminated, integrated, on roof
7919,"market for electricity, high voltage",CY,CEU, 93 , slanted-roof , single-Si, panel, mounted, on roof
7920,"market for electricity, high voltage",CY,CEU, 156 , flat-roof , multi-Si, on roof,,
7921,"market for electricity, high voltage",CY,CEU, 156 , flat-roof , single-Si, on roof,,
7922,"market for electricity, high voltage",CY,CEU, 570 , open ground , CIS, on open ground,,
7923,"market for electricity, high voltage",CY,CEU, 570 , open ground , CdTe, on open ground,,
7924,"market for electricity, high voltage",CY,CEU, 570 , open ground , micro-Si, on open ground,,
7925,"market for electricity, high voltage",CY,CEU, 570 , open ground , multi-Si, on open ground,,
7926,"market for electricity, high voltage",CY,CEU, 570 , open ground , single-Si, on open ground,,
7927,"market for electricity, high voltage",CY,CEU, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
7928,"market for electricity, high voltage",CY,CEU, 93 , slanted-roof , multi-Si, panel, mounted, on roof
7929,"market for electricity, high voltage",CY,CEU, 93 , slanted-roof , single-Si, laminated, integrated, on roof
7930,"market for electricity, high voltage",CY,CEU, 93 , slanted-roof , single-Si, panel, mounted, on roof
7931,"market for electricity, low voltage",CN-NECG,CHN, 3 , slanted-roof , CIS, laminated, integrated, on roof
7932,"market for electricity, low voltage",CN-NECG,CHN, 3 , slanted-roof , CdTe, panel, mounted, on roof
7933,"market for electricity, low voltage",CN-NECG,CHN, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
7934,"market for electricity, low voltage",CN-NECG,CHN, 3 , slanted-roof , micro-Si, panel, mounted, on roof
7935,"market for electricity, low voltage",CN-NECG,CHN, 3, facade , multi-Si, laminated, integrated, at building
7936,"market for electricity, low voltage",CN-NECG,CHN, 3, facade , multi-Si, panel, mounted, at building
7937,"market for electricity, low voltage",CN-NECG,CHN, 3, facade , single-Si, laminated, integrated, at building
7938,"market for electricity, low voltage",CN-NECG,CHN, 3, facade , single-Si, panel, mounted, at building
7939,"market for electricity, low voltage",CN-NECG,CHN, 3, flat-roof , multi-Si, on roof,,
7940,"market for electricity, low voltage",CN-NECG,CHN, 3, flat-roof , single-Si, on roof,,
7941,"market for electricity, low voltage",CN-NECG,CHN, 3, slanted-roof , CIS, panel, mounted, on roof
7942,"market for electricity, low voltage",CN-NECG,CHN, 3, slanted-roof , CdTe, laminated, integrated, on roof
7943,"market for electricity, low voltage",CN-NECG,CHN, 3, slanted-roof , multi-Si, laminated, integrated, on roof
7944,"market for electricity, low voltage",CN-NECG,CHN, 3, slanted-roof , multi-Si, panel, mounted, on roof
7945,"market for electricity, low voltage",CN-NECG,CHN, 3, slanted-roof , single-Si, laminated, integrated, on roof
7946,"market for electricity, low voltage",CN-NECG,CHN, 3, slanted-roof , single-Si, panel, mounted, on roof
7947,"market for electricity, low voltage",CN-NCGC,CHN, 3 , slanted-roof , CIS, laminated, integrated, on roof
7948,"market for electricity, low voltage",CN-NCGC,CHN, 3 , slanted-roof , CdTe, panel, mounted, on roof
7949,"market for electricity, low voltage",CN-NCGC,CHN, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
7950,"market for electricity, low voltage",CN-NCGC,CHN, 3 , slanted-roof , micro-Si, panel, mounted, on roof
7951,"market for electricity, low voltage",CN-NCGC,CHN, 3, facade , multi-Si, laminated, integrated, at building
7952,"market for electricity, low voltage",CN-NCGC,CHN, 3, facade , multi-Si, panel, mounted, at building
7953,"market for electricity, low voltage",CN-NCGC,CHN, 3, facade , single-Si, laminated, integrated, at building
7954,"market for electricity, low voltage",CN-NCGC,CHN, 3, facade , single-Si, panel, mounted, at building
7955,"market for electricity, low voltage",CN-NCGC,CHN, 3, flat-roof , multi-Si, on roof,,
7956,"market for electricity, low voltage",CN-NCGC,CHN, 3, flat-roof , single-Si, on roof,,
7957,"market for electricity, low voltage",CN-NCGC,CHN, 3, slanted-roof , CIS, panel, mounted, on roof
7958,"market for electricity, low voltage",CN-NCGC,CHN, 3, slanted-roof , CdTe, laminated, integrated, on roof
7959,"market for electricity, low voltage",CN-NCGC,CHN, 3, slanted-roof , multi-Si, laminated, integrated, on roof
7960,"market for electricity, low voltage",CN-NCGC,CHN, 3, slanted-roof , multi-Si, panel, mounted, on roof
7961,"market for electricity, low voltage",CN-NCGC,CHN, 3, slanted-roof , single-Si, laminated, integrated, on roof
7962,"market for electricity, low voltage",CN-NCGC,CHN, 3, slanted-roof , single-Si, panel, mounted, on roof
7963,"market for electricity, low voltage",ME,CEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
7964,"market for electricity, low voltage",ME,CEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
7965,"market for electricity, low voltage",ME,CEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
7966,"market for electricity, low voltage",ME,CEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
7967,"market for electricity, low voltage",ME,CEU, 3, facade , multi-Si, laminated, integrated, at building
7968,"market for electricity, low voltage",ME,CEU, 3, facade , multi-Si, panel, mounted, at building
7969,"market for electricity, low voltage",ME,CEU, 3, facade , single-Si, laminated, integrated, at building
7970,"market for electricity, low voltage",ME,CEU, 3, facade , single-Si, panel, mounted, at building
7971,"market for electricity, low voltage",ME,CEU, 3, flat-roof , multi-Si, on roof,,
7972,"market for electricity, low voltage",ME,CEU, 3, flat-roof , single-Si, on roof,,
7973,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , CIS, panel, mounted, on roof
7974,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
7975,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
7976,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
7977,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
7978,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , single-Si, panel, mounted, on roof
7979,"market for electricity, low voltage",ME,CEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
7980,"market for electricity, low voltage",ME,CEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
7981,"market for electricity, low voltage",ME,CEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
7982,"market for electricity, low voltage",ME,CEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
7983,"market for electricity, low voltage",ME,CEU, 3, facade , multi-Si, laminated, integrated, at building
7984,"market for electricity, low voltage",ME,CEU, 3, facade , multi-Si, panel, mounted, at building
7985,"market for electricity, low voltage",ME,CEU, 3, facade , single-Si, laminated, integrated, at building
7986,"market for electricity, low voltage",ME,CEU, 3, facade , single-Si, panel, mounted, at building
7987,"market for electricity, low voltage",ME,CEU, 3, flat-roof , multi-Si, on roof,,
7988,"market for electricity, low voltage",ME,CEU, 3, flat-roof , single-Si, on roof,,
7989,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , CIS, panel, mounted, on roof
7990,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
7991,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
7992,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
7993,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
7994,"market for electricity, low voltage",ME,CEU, 3, slanted-roof , single-Si, panel, mounted, on roof
7995,"market for electricity, high voltage",CN-NECG,CHN, 156 , flat-roof , multi-Si, on roof,,
7996,"market for electricity, high voltage",CN-NECG,CHN, 156 , flat-roof , single-Si, on roof,,
7997,"market for electricity, high voltage",CN-NECG,CHN, 570 , open ground , CIS, on open ground,,
7998,"market for electricity, high voltage",CN-NECG,CHN, 570 , open ground , CdTe, on open ground,,
7999,"market for electricity, high voltage",CN-NECG,CHN, 570 , open ground , micro-Si, on open ground,,
8000,"market for electricity, high voltage",CN-NECG,CHN, 570 , open ground , multi-Si, on open ground,,
8001,"market for electricity, high voltage",CN-NECG,CHN, 570 , open ground , single-Si, on open ground,,
8002,"market for electricity, high voltage",CN-NECG,CHN, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8003,"market for electricity, high voltage",CN-NECG,CHN, 93 , slanted-roof , multi-Si, panel, mounted, on roof
8004,"market for electricity, high voltage",CN-NECG,CHN, 93 , slanted-roof , single-Si, laminated, integrated, on roof
8005,"market for electricity, high voltage",CN-NECG,CHN, 93 , slanted-roof , single-Si, panel, mounted, on roof
8006,"market for electricity, high voltage",CA-BC,CAN, 156 , flat-roof , multi-Si, on roof,,
8007,"market for electricity, high voltage",CA-BC,CAN, 156 , flat-roof , single-Si, on roof,,
8008,"market for electricity, high voltage",CA-BC,CAN, 570 , open ground , CIS, on open ground,,
8009,"market for electricity, high voltage",CA-BC,CAN, 570 , open ground , CdTe, on open ground,,
8010,"market for electricity, high voltage",CA-BC,CAN, 570 , open ground , micro-Si, on open ground,,
8011,"market for electricity, high voltage",CA-BC,CAN, 570 , open ground , multi-Si, on open ground,,
8012,"market for electricity, high voltage",CA-BC,CAN, 570 , open ground , single-Si, on open ground,,
8013,"market for electricity, high voltage",CA-BC,CAN, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8014,"market for electricity, high voltage",CA-BC,CAN, 93 , slanted-roof , multi-Si, panel, mounted, on roof
8015,"market for electricity, high voltage",CA-BC,CAN, 93 , slanted-roof , single-Si, laminated, integrated, on roof
8016,"market for electricity, high voltage",CA-BC,CAN, 93 , slanted-roof , single-Si, panel, mounted, on roof
8017,"market for electricity, low voltage",YE,ME, 3 , slanted-roof , CIS, laminated, integrated, on roof
8018,"market for electricity, low voltage",YE,ME, 3 , slanted-roof , CdTe, panel, mounted, on roof
8019,"market for electricity, low voltage",YE,ME, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
8020,"market for electricity, low voltage",YE,ME, 3 , slanted-roof , micro-Si, panel, mounted, on roof
8021,"market for electricity, low voltage",YE,ME, 3, facade , multi-Si, laminated, integrated, at building
8022,"market for electricity, low voltage",YE,ME, 3, facade , multi-Si, panel, mounted, at building
8023,"market for electricity, low voltage",YE,ME, 3, facade , single-Si, laminated, integrated, at building
8024,"market for electricity, low voltage",YE,ME, 3, facade , single-Si, panel, mounted, at building
8025,"market for electricity, low voltage",YE,ME, 3, flat-roof , multi-Si, on roof,,
8026,"market for electricity, low voltage",YE,ME, 3, flat-roof , single-Si, on roof,,
8027,"market for electricity, low voltage",YE,ME, 3, slanted-roof , CIS, panel, mounted, on roof
8028,"market for electricity, low voltage",YE,ME, 3, slanted-roof , CdTe, laminated, integrated, on roof
8029,"market for electricity, low voltage",YE,ME, 3, slanted-roof , multi-Si, laminated, integrated, on roof
8030,"market for electricity, low voltage",YE,ME, 3, slanted-roof , multi-Si, panel, mounted, on roof
8031,"market for electricity, low voltage",YE,ME, 3, slanted-roof , single-Si, laminated, integrated, on roof
8032,"market for electricity, low voltage",YE,ME, 3, slanted-roof , single-Si, panel, mounted, on roof
8033,"market for electricity, low voltage",PL,CEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
8034,"market for electricity, low voltage",PL,CEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
8035,"market for electricity, low voltage",PL,CEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
8036,"market for electricity, low voltage",PL,CEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
8037,"market for electricity, low voltage",PL,CEU, 3, facade , multi-Si, laminated, integrated, at building
8038,"market for electricity, low voltage",PL,CEU, 3, facade , multi-Si, panel, mounted, at building
8039,"market for electricity, low voltage",PL,CEU, 3, facade , single-Si, laminated, integrated, at building
8040,"market for electricity, low voltage",PL,CEU, 3, facade , single-Si, panel, mounted, at building
8041,"market for electricity, low voltage",PL,CEU, 3, flat-roof , multi-Si, on roof,,
8042,"market for electricity, low voltage",PL,CEU, 3, flat-roof , single-Si, on roof,,
8043,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , CIS, panel, mounted, on roof
8044,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
8045,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
8046,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
8047,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
8048,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , single-Si, panel, mounted, on roof
8049,"market for electricity, low voltage",PL,CEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
8050,"market for electricity, low voltage",PL,CEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
8051,"market for electricity, low voltage",PL,CEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
8052,"market for electricity, low voltage",PL,CEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
8053,"market for electricity, low voltage",PL,CEU, 3, facade , multi-Si, laminated, integrated, at building
8054,"market for electricity, low voltage",PL,CEU, 3, facade , multi-Si, panel, mounted, at building
8055,"market for electricity, low voltage",PL,CEU, 3, facade , single-Si, laminated, integrated, at building
8056,"market for electricity, low voltage",PL,CEU, 3, facade , single-Si, panel, mounted, at building
8057,"market for electricity, low voltage",PL,CEU, 3, flat-roof , multi-Si, on roof,,
8058,"market for electricity, low voltage",PL,CEU, 3, flat-roof , single-Si, on roof,,
8059,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , CIS, panel, mounted, on roof
8060,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
8061,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
8062,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
8063,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
8064,"market for electricity, low voltage",PL,CEU, 3, slanted-roof , single-Si, panel, mounted, on roof
8065,"market for electricity, high voltage",PK,RSAS, 156 , flat-roof , multi-Si, on roof,,
8066,"market for electricity, high voltage",PK,RSAS, 156 , flat-roof , single-Si, on roof,,
8067,"market for electricity, high voltage",PK,RSAS, 570 , open ground , CIS, on open ground,,
8068,"market for electricity, high voltage",PK,RSAS, 570 , open ground , CdTe, on open ground,,
8069,"market for electricity, high voltage",PK,RSAS, 570 , open ground , micro-Si, on open ground,,
8070,"market for electricity, high voltage",PK,RSAS, 570 , open ground , multi-Si, on open ground,,
8071,"market for electricity, high voltage",PK,RSAS, 570 , open ground , single-Si, on open ground,,
8072,"market for electricity, high voltage",PK,RSAS, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8073,"market for electricity, high voltage",PK,RSAS, 93 , slanted-roof , multi-Si, panel, mounted, on roof
8074,"market for electricity, high voltage",PK,RSAS, 93 , slanted-roof , single-Si, laminated, integrated, on roof
8075,"market for electricity, high voltage",PK,RSAS, 93 , slanted-roof , single-Si, panel, mounted, on roof
8076,"market for electricity, low voltage",US-WECC,USA, 3 , slanted-roof , CIS, laminated, integrated, on roof
8077,"market for electricity, low voltage",US-WECC,USA, 3 , slanted-roof , CdTe, panel, mounted, on roof
8078,"market for electricity, low voltage",US-WECC,USA, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
8079,"market for electricity, low voltage",US-WECC,USA, 3 , slanted-roof , micro-Si, panel, mounted, on roof
8080,"market for electricity, low voltage",US-WECC,USA, 3, facade , multi-Si, laminated, integrated, at building
8081,"market for electricity, low voltage",US-WECC,USA, 3, facade , multi-Si, panel, mounted, at building
8082,"market for electricity, low voltage",US-WECC,USA, 3, facade , single-Si, laminated, integrated, at building
8083,"market for electricity, low voltage",US-WECC,USA, 3, facade , single-Si, panel, mounted, at building
8084,"market for electricity, low voltage",US-WECC,USA, 3, flat-roof , multi-Si, on roof,,
8085,"market for electricity, low voltage",US-WECC,USA, 3, flat-roof , single-Si, on roof,,
8086,"market for electricity, low voltage",US-WECC,USA, 3, slanted-roof , CIS, panel, mounted, on roof
8087,"market for electricity, low voltage",US-WECC,USA, 3, slanted-roof , CdTe, laminated, integrated, on roof
8088,"market for electricity, low voltage",US-WECC,USA, 3, slanted-roof , multi-Si, laminated, integrated, on roof
8089,"market for electricity, low voltage",US-WECC,USA, 3, slanted-roof , multi-Si, panel, mounted, on roof
8090,"market for electricity, low voltage",US-WECC,USA, 3, slanted-roof , single-Si, laminated, integrated, on roof
8091,"market for electricity, low voltage",US-WECC,USA, 3, slanted-roof , single-Si, panel, mounted, on roof
8092,"market for electricity, high voltage",CA-NU,CAN, 156 , flat-roof , multi-Si, on roof,,
8093,"market for electricity, high voltage",CA-NU,CAN, 156 , flat-roof , single-Si, on roof,,
8094,"market for electricity, high voltage",CA-NU,CAN, 570 , open ground , CIS, on open ground,,
8095,"market for electricity, high voltage",CA-NU,CAN, 570 , open ground , CdTe, on open ground,,
8096,"market for electricity, high voltage",CA-NU,CAN, 570 , open ground , micro-Si, on open ground,,
8097,"market for electricity, high voltage",CA-NU,CAN, 570 , open ground , multi-Si, on open ground,,
8098,"market for electricity, high voltage",CA-NU,CAN, 570 , open ground , single-Si, on open ground,,
8099,"market for electricity, high voltage",CA-NU,CAN, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8100,"market for electricity, high voltage",CA-NU,CAN, 93 , slanted-roof , multi-Si, panel, mounted, on roof
8101,"market for electricity, high voltage",CA-NU,CAN, 93 , slanted-roof , single-Si, laminated, integrated, on roof
8102,"market for electricity, high voltage",CA-NU,CAN, 93 , slanted-roof , single-Si, panel, mounted, on roof
8103,"market for electricity, high voltage",DO,RCAM, 156 , flat-roof , multi-Si, on roof,,
8104,"market for electricity, high voltage",DO,RCAM, 156 , flat-roof , single-Si, on roof,,
8105,"market for electricity, high voltage",DO,RCAM, 570 , open ground , CIS, on open ground,,
8106,"market for electricity, high voltage",DO,RCAM, 570 , open ground , CdTe, on open ground,,
8107,"market for electricity, high voltage",DO,RCAM, 570 , open ground , micro-Si, on open ground,,
8108,"market for electricity, high voltage",DO,RCAM, 570 , open ground , multi-Si, on open ground,,
8109,"market for electricity, high voltage",DO,RCAM, 570 , open ground , single-Si, on open ground,,
8110,"market for electricity, high voltage",DO,RCAM, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8111,"market for electricity, high voltage",DO,RCAM, 93 , slanted-roof , multi-Si, panel, mounted, on roof
8112,"market for electricity, high voltage",DO,RCAM, 93 , slanted-roof , single-Si, laminated, integrated, on roof
8113,"market for electricity, high voltage",DO,RCAM, 93 , slanted-roof , single-Si, panel, mounted, on roof
8114,"market for electricity, high voltage",US-MRO,USA, 156 , flat-roof , multi-Si, on roof,,
8115,"market for electricity, high voltage",US-MRO,USA, 156 , flat-roof , single-Si, on roof,,
8116,"market for electricity, high voltage",US-MRO,USA, 570 , open ground , CIS, on open ground,,
8117,"market for electricity, high voltage",US-MRO,USA, 570 , open ground , CdTe, on open ground,,
8118,"market for electricity, high voltage",US-MRO,USA, 570 , open ground , micro-Si, on open ground,,
8119,"market for electricity, high voltage",US-MRO,USA, 570 , open ground , multi-Si, on open ground,,
8120,"market for electricity, high voltage",US-MRO,USA, 570 , open ground , single-Si, on open ground,,
8121,"market for electricity, high voltage",US-MRO,USA, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8122,"market for electricity, high voltage",US-MRO,USA, 93 , slanted-roof , multi-Si, panel, mounted, on roof
8123,"market for electricity, high voltage",US-MRO,USA, 93 , slanted-roof , single-Si, laminated, integrated, on roof
8124,"market for electricity, high voltage",US-MRO,USA, 93 , slanted-roof , single-Si, panel, mounted, on roof
8125,"market for electricity, low voltage",BR-Southern grid,BRA, 3 , slanted-roof , CIS, laminated, integrated, on roof
8126,"market for electricity, low voltage",BR-Southern grid,BRA, 3 , slanted-roof , CdTe, panel, mounted, on roof
8127,"market for electricity, low voltage",BR-Southern grid,BRA, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
8128,"market for electricity, low voltage",BR-Southern grid,BRA, 3 , slanted-roof , micro-Si, panel, mounted, on roof
8129,"market for electricity, low voltage",BR-Southern grid,BRA, 3, facade , multi-Si, laminated, integrated, at building
8130,"market for electricity, low voltage",BR-Southern grid,BRA, 3, facade , multi-Si, panel, mounted, at building
8131,"market for electricity, low voltage",BR-Southern grid,BRA, 3, facade , single-Si, laminated, integrated, at building
8132,"market for electricity, low voltage",BR-Southern grid,BRA, 3, facade , single-Si, panel, mounted, at building
8133,"market for electricity, low voltage",BR-Southern grid,BRA, 3, flat-roof , multi-Si, on roof,,
8134,"market for electricity, low voltage",BR-Southern grid,BRA, 3, flat-roof , single-Si, on roof,,
8135,"market for electricity, low voltage",BR-Southern grid,BRA, 3, slanted-roof , CIS, panel, mounted, on roof
8136,"market for electricity, low voltage",BR-Southern grid,BRA, 3, slanted-roof , CdTe, laminated, integrated, on roof
8137,"market for electricity, low voltage",BR-Southern grid,BRA, 3, slanted-roof , multi-Si, laminated, integrated, on roof
8138,"market for electricity, low voltage",BR-Southern grid,BRA, 3, slanted-roof , multi-Si, panel, mounted, on roof
8139,"market for electricity, low voltage",BR-Southern grid,BRA, 3, slanted-roof , single-Si, laminated, integrated, on roof
8140,"market for electricity, low voltage",BR-Southern grid,BRA, 3, slanted-roof , single-Si, panel, mounted, on roof
8141,"market for electricity, high voltage",PT,WEU, 156 , flat-roof , multi-Si, on roof,,
8142,"market for electricity, high voltage",PT,WEU, 156 , flat-roof , single-Si, on roof,,
8143,"market for electricity, high voltage",PT,WEU, 570 , open ground , CIS, on open ground,,
8144,"market for electricity, high voltage",PT,WEU, 570 , open ground , CdTe, on open ground,,
8145,"market for electricity, high voltage",PT,WEU, 570 , open ground , micro-Si, on open ground,,
8146,"market for electricity, high voltage",PT,WEU, 570 , open ground , multi-Si, on open ground,,
8147,"market for electricity, high voltage",PT,WEU, 570 , open ground , single-Si, on open ground,,
8148,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8149,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , multi-Si, panel, mounted, on roof
8150,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , single-Si, laminated, integrated, on roof
8151,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , single-Si, panel, mounted, on roof
8152,"market for electricity, high voltage",PT,WEU, 156 , flat-roof , multi-Si, on roof,,
8153,"market for electricity, high voltage",PT,WEU, 156 , flat-roof , single-Si, on roof,,
8154,"market for electricity, high voltage",PT,WEU, 570 , open ground , CIS, on open ground,,
8155,"market for electricity, high voltage",PT,WEU, 570 , open ground , CdTe, on open ground,,
8156,"market for electricity, high voltage",PT,WEU, 570 , open ground , micro-Si, on open ground,,
8157,"market for electricity, high voltage",PT,WEU, 570 , open ground , multi-Si, on open ground,,
8158,"market for electricity, high voltage",PT,WEU, 570 , open ground , single-Si, on open ground,,
8159,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8160,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , multi-Si, panel, mounted, on roof
8161,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , single-Si, laminated, integrated, on roof
8162,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , single-Si, panel, mounted, on roof
8163,"market for electricity, high voltage",PT,WEU, 156 , flat-roof , multi-Si, on roof,,
8164,"market for electricity, high voltage",PT,WEU, 156 , flat-roof , single-Si, on roof,,
8165,"market for electricity, high voltage",PT,WEU, 570 , open ground , CIS, on open ground,,
8166,"market for electricity, high voltage",PT,WEU, 570 , open ground , CdTe, on open ground,,
8167,"market for electricity, high voltage",PT,WEU, 570 , open ground , micro-Si, on open ground,,
8168,"market for electricity, high voltage",PT,WEU, 570 , open ground , multi-Si, on open ground,,
8169,"market for electricity, high voltage",PT,WEU, 570 , open ground , single-Si, on open ground,,
8170,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8171,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , multi-Si, panel, mounted, on roof
8172,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , single-Si, laminated, integrated, on roof
8173,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , single-Si, panel, mounted, on roof
8174,"market for electricity, high voltage",PT,WEU, 156 , flat-roof , multi-Si, on roof,,
8175,"market for electricity, high voltage",PT,WEU, 156 , flat-roof , single-Si, on roof,,
8176,"market for electricity, high voltage",PT,WEU, 570 , open ground , CIS, on open ground,,
8177,"market for electricity, high voltage",PT,WEU, 570 , open ground , CdTe, on open ground,,
8178,"market for electricity, high voltage",PT,WEU, 570 , open ground , micro-Si, on open ground,,
8179,"market for electricity, high voltage",PT,WEU, 570 , open ground , multi-Si, on open ground,,
8180,"market for electricity, high voltage",PT,WEU, 570 , open ground , single-Si, on open ground,,
8181,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8182,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , multi-Si, panel, mounted, on roof
8183,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , single-Si, laminated, integrated, on roof
8184,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , single-Si, panel, mounted, on roof
8185,"market for electricity, high voltage",PT,WEU, 156 , flat-roof , multi-Si, on roof,,
8186,"market for electricity, high voltage",PT,WEU, 156 , flat-roof , single-Si, on roof,,
8187,"market for electricity, high voltage",PT,WEU, 570 , open ground , CIS, on open ground,,
8188,"market for electricity, high voltage",PT,WEU, 570 , open ground , CdTe, on open ground,,
8189,"market for electricity, high voltage",PT,WEU, 570 , open ground , micro-Si, on open ground,,
8190,"market for electricity, high voltage",PT,WEU, 570 , open ground , multi-Si, on open ground,,
8191,"market for electricity, high voltage",PT,WEU, 570 , open ground , single-Si, on open ground,,
8192,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
8193,"market for electricity, high voltage",PT,WEU, 93 , slanted-roof , multi-Si, panel, mounted, on roof
